road,point,traffic_percent,hour,currentSpeed,freeFlowSpeed
Eastern distributor northbound,"-33.91176,151.21283",0.0,06:15,77,77
Eastern distributor northbound,"-33.90156,151.21484",0.0,06:15,71,71
Eastern distributor northbound,"-33.89189,151.21683",0.0,06:15,71,71
Eastern distributor northbound,"-33.88284,151.2172",0.0,06:15,71,71
Eastern distributor northbound,"-33.87574,151.21744",0.0,06:15,68,68
Eastern distributor northbound,"-33.87096,151.21811",0.0,06:15,68,68
Eastern distributor northbound,"-33.86693,151.2159",0.0,06:15,68,68
western Distributor Eastbound,"-33.8716,151.19324",0.0,06:15,61,61
western Distributor Eastbound,"-33.87487,151.19688",0.0,06:15,59,59
western Distributor Eastbound,"-33.87298,151.20221",0.0,06:15,59,59
western Distributor Eastbound,"-33.8682,151.20282",0.0,06:15,65,65
western Distributor Eastbound,"-33.8623,151.20497",0.0,06:15,65,65
western Distributor Westbound,"-33.86038,151.20601",0.0,06:15,64,64
western Distributor Westbound,"-33.86396,151.20436",0.0,06:15,64,64
western Distributor Westbound,"-33.8704,151.20326",0.0,06:15,61,61
western Distributor Westbound,"-33.87274,151.2033",0.0,06:15,61,61
western Distributor Westbound,"-33.87435,151.20108",0.0,06:15,60,60
western Distributor Westbound,"-33.87505,151.19639",0.0,06:15,59,59
western Distributor Westbound,"-33.87162,151.19295",0.0,06:15,59,59
Cahill Expressway Northbound,"-33.86161,151.21329",45.238095238095234,06:15,23,42
Cahill Expressway Northbound,"-33.8633,151.21326",45.238095238095234,06:15,23,42
Cahill Expressway Northbound,"-33.86155,151.21224",0.0,06:15,60,60
Cahill Expressway Northbound,"-33.86094,151.20603",0.0,06:15,60,60
Cahill Expressway Northbound,"-33.86024,151.20454",0.0,06:15,60,60
Cahill Expressway Northbound,"-33.86102,151.20515",0.0,06:15,60,60
Cahill Expressway southbound,"-33.84246,151.21116",0,06:15,0,0
Cahill Expressway southbound,"-33.84923,151.2126",0.0,06:15,47,47
Cahill Expressway southbound,"-33.85581,151.20858",0.0,06:15,47,47
Cahill Expressway southbound,"-33.86078,151.20649",0.0,06:15,47,47
Cahill Expressway southbound,"-33.86159,151.21311",0.0,06:15,47,47
City road southbound,"-33.88793,151.1929",17.85714285714286,06:15,23,28
City road nortbound,"-33.89009,151.18956",0.0,06:15,41,41
City road nortbound,"-33.88534,151.19436",17.85714285714286,06:15,23,28
Brisbane Water Drive Northbound,"-33.47617,151.32398",0.0,06:15,63,63
Brisbane Water Drive Northbound,"-33.4714,151.32045",0.0,06:15,63,63
Brisbane Water Drive Northbound,"-33.46413,151.31736",0.0,06:15,61,61
Brisbane Water Drive Northbound,"-33.45959,151.31325",0.0,06:15,61,61
Brisbane Water Drive Northbound,"-33.45029,151.3209",0.0,06:15,63,63
Brisbane Water Drive Northbound,"-33.44892,151.32664",0.0,06:15,63,63
Brisbane Water Drive Northbound,"-33.44818,151.32667",0.0,06:15,55,55
Brisbane Water Drive Northbound,"-33.44259,151.32917",0.0,06:15,56,56
Brisbane Water Drive Northbound,"-33.439,151.32764",0.0,06:15,55,55
Brisbane Water Drive Northbound,"-33.43709,151.32171",0.0,06:15,55,55
Brisbane Water Drive Northbound,"-33.43362,151.31611",0.0,06:15,46,46
Brisbane Water Drive Northbound,"-33.43002,151.31642",0.0,06:15,46,46
Brisbane Water Drive Southbound,"-33.42872,151.31688",0.0,06:15,56,56
Brisbane Water Drive Southbound,"-33.4332,151.31599",0.0,06:15,56,56
Brisbane Water Drive Southbound,"-33.43678,151.32096",0.0,06:15,46,46
Brisbane Water Drive Southbound,"-33.43889,151.32752",0.0,06:15,55,55
Brisbane Water Drive Southbound,"-33.44178,151.32935",0.0,06:15,56,56
Brisbane Water Drive Southbound,"-33.44829,151.32679",0.0,06:15,56,56
Brisbane Water Drive Southbound,"-33.45008,151.32285",0.0,06:15,63,63
Brisbane Water Drive Southbound,"-33.45922,151.31344",0.0,06:15,61,61
Brisbane Water Drive Southbound,"-33.46363,151.31673",0.0,06:15,63,63
Brisbane Water Drive Southbound,"-33.47091,151.32003",0.0,06:15,63,63
Brisbane Water Drive Southbound,"-33.47558,151.324",0.0,06:15,63,63
Burns Bay Road Northbound,"-33.83948,151.14547",0.0,06:15,70,70
Burns Bay Road Northbound,"-33.83168,151.14599",23.684210526315784,06:15,29,38
Burns Bay Road Northbound,"-33.82647,151.14894",0.0,06:15,64,64
Burns Bay Road Northbound,"-33.82259,151.14966",0.0,06:15,47,47
Burns Bay Road Northbound,"-33.8185,151.15124",0.0,06:15,51,51
Burns Bay Road Northbound,"-33.81458,151.15394",0.0,06:15,44,44
Burns Bay Road Northbound,"-33.81375,151.1601",0.0,06:15,42,42
Burns Bay Road Northbound,"-33.81485,151.1663",0.0,06:15,29,29
Burns Bay Road Southbound,"-33.81476,151.15401",0.0,06:15,43,43
Burns Bay Road Southbound,"-33.8185,151.15124",0.0,06:15,51,51
Burns Bay Road Southbound,"-33.82278,151.14977",0.0,06:15,51,51
Burns Bay Road Southbound,"-33.82653,151.14901",0.0,06:15,64,64
Burns Bay Road Southbound,"-33.83078,151.14614",0.0,06:15,64,64
Burns Bay Road Southbound,"-33.83867,151.1453",0.0,06:15,62,62
Camden Valley Way Northbound,"-34.05205,150.71013",0.0,06:15,57,57
Camden Valley Way Northbound,"-34.04739,150.71745",0.0,06:15,56,56
Camden Valley Way Northbound,"-34.04308,150.72659",0.0,06:15,56,56
Camden Valley Way Northbound,"-34.042,150.73097",0.0,06:15,57,57
Camden Valley Way Northbound,"-34.04004,150.73701",32.14285714285714,06:15,19,28
Camden Valley Way Northbound,"-34.04037,150.74456",0.0,06:15,61,61
Camden Valley Way Northbound,"-34.04313,150.75462",0.0,06:15,62,62
Camden Valley Way Northbound,"-34.04808,150.76201",0.0,06:15,68,68
Camden Valley Way Northbound,"-34.05371,150.77342",22.857142857142854,06:15,54,70
Camden Valley Way Northbound,"-34.05958,150.78113",20.28985507246377,06:15,55,69
Camden Valley Way Northbound,"-34.05802,150.79228",0.0,06:15,108,108
Camden Valley Way Northbound,"-34.05227,150.80992",0.0,06:15,108,108
Camden Valley Way Northbound,"-34.03904,150.82268",0.0,06:15,108,108
Camden Valley Way Northbound,"-34.01802,150.82484",0.0,06:15,105,105
Camden Valley Way Northbound,"-34.00503,150.83444",0.0,06:15,105,105
Camden Valley Way Northbound,"-33.99057,150.85192",0.0,06:15,105,105
Camden Valley Way Northbound,"-33.98106,150.86496",0.0,06:15,105,105
Camden Valley Way Northbound,"-33.96972,150.87398",0.0,06:15,105,105
Camden Valley Way Northbound,"-33.95767,150.87545",0.0,06:15,55,55
Camden Valley Way Northbound,"-33.95732,150.88236",59.09090909090908,06:15,18,44
Camden Valley Way Southbound,"-33.9578,150.88514",32.49999999999999,06:15,27,40
Camden Valley Way Southbound,"-33.95938,150.88165",0.0,06:15,49,49
Camden Valley Way Southbound,"-33.96264,150.87806",0.0,06:15,56,56
Camden Valley Way Southbound,"-33.96977,150.87448",0.0,06:15,85,85
Camden Valley Way Southbound,"-33.98025,150.86694",0.0,06:15,106,106
Camden Valley Way Southbound,"-33.98927,150.85335",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.00056,150.84294",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.01272,150.82789",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.0297,150.82413",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.04615,150.81933",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.05463,150.80402",0.0,06:15,106,106
Camden Valley Way Southbound,"-34.05997,150.78905",0.0,06:15,70,70
Camden Valley Way Southbound,"-34.06385,150.78506",0.0,06:15,70,70
Camden Valley Way Southbound,"-34.06194,150.78518",0.0,06:15,58,58
Camden Valley Way Southbound,"-34.05627,150.77738",0.0,06:15,74,74
Camden Valley Way Southbound,"-34.05294,150.76978",0.0,06:15,66,66
Camden Valley Way Southbound,"-34.04699,150.76016",0.0,06:15,75,75
Camden Valley Way Southbound,"-34.04154,150.74838",0.0,06:15,75,75
Camden Valley Way Southbound,"-34.03972,150.73849",0.0,06:15,43,43
Camden Valley Way Southbound,"-34.04201,150.73104",0.0,06:15,57,57
Camden Valley Way Southbound,"-34.04334,150.72677",0.0,06:15,57,57
Camden Valley Way Southbound,"-34.04739,150.71745",0.0,06:15,56,56
Camden Valley Way Southbound,"-34.05217,150.70991",0.0,06:15,56,56
Sunnyholt Road Northbound,"-33.77026,150.91197",0.0,06:15,35,35
Sunnyholt Road Northbound,"-33.76497,150.91281",0.0,06:15,32,32
Sunnyholt Road Northbound,"-33.75653,150.91455",0.0,06:15,56,56
Sunnyholt Road Northbound,"-33.75087,150.91567",34.14634146341463,06:15,27,41
Sunnyholt Road Northbound,"-33.7427,150.91713",23.404255319148938,06:15,36,47
Sunnyholt Road Northbound,"-33.73711,150.9184",28.8135593220339,06:15,42,59
Sunnyholt Road Northbound,"-33.7289,150.92255",0.0,06:15,49,49
Sunnyholt Road Northbound,"-33.72465,150.92839",0.0,06:15,66,66
Sunnyholt Road Northbound,"-33.72076,150.93618",32.14285714285714,06:15,19,28
Sunnyholt Road Southbound,"-33.72173,150.93187",0.0,06:15,62,62
Sunnyholt Road Southbound,"-33.72803,150.924",0.0,06:15,56,56
Sunnyholt Road Southbound,"-33.73481,150.91967",35.55555555555555,06:15,29,45
Sunnyholt Road Southbound,"-33.74013,150.9176",0.0,06:15,43,43
Sunnyholt Road Southbound,"-33.74782,150.91641",0.0,06:15,56,56
Sunnyholt Road Southbound,"-33.75459,150.91503",14.54545454545455,06:15,47,55
Sunnyholt Road Southbound,"-33.76263,150.91352",0.0,06:15,44,44
Sunnyholt Road Southbound,"-33.76971,150.9122",0.0,06:15,44,44
O'riordan Street northbound,"-33.9285,151.18708",0.0,06:15,37,37
O'riordan Street northbound,"-33.92426,151.19055",0.0,06:15,29,29
O'riordan Street northbound,"-33.91895,151.19291",0.0,06:15,44,44
O'riordan Street northbound,"-33.91335,151.19641",0.0,06:15,44,44
O'riordan Street northbound,"-33.90554,151.20279",0.0,06:15,32,32
O'riordan Street southbound,"-33.9162,151.19465",0.0,06:15,37,37
O'riordan Street southbound,"-33.92086,151.19176",0.0,06:15,37,37
O'riordan Street southbound,"-33.92586,151.18911",0.0,06:15,38,38
O'riordan Street southbound,"-33.93032,151.18673",0.0,06:15,39,39
head street nortbound,"-37.89202,144.99303",0.0,06:15,48,48
head street nortbound,"-37.89282,144.99973",0.0,06:15,33,33
head street southbound,"-37.89295,145.00028",0.0,06:15,33,33
head street southbound,"-37.89252,144.99672",0.0,06:15,46,46
head street southbound,"-37.89118,144.98588",0.0,06:15,54,54
putty road northbound,"-32.57418,151.16283",0.0,06:15,82,82
putty road northbound,"-32.59086,151.14878",0.0,06:15,82,82
putty road northbound,"-32.60715,151.14696",0.0,06:15,93,93
putty road northbound,"-32.61998,151.14607",0.0,06:15,82,82
putty road northbound,"-32.62536,151.13384",0.0,06:15,87,87
putty road northbound,"-32.6226,151.12372",0.0,06:15,95,95
putty road northbound,"-32.61819,151.11234",0.0,06:15,95,95
putty road northbound,"-32.61754,151.10325",0.0,06:15,93,93
putty road northbound,"-32.61933,151.09689",0.0,06:15,90,90
putty road northbound,"-32.63105,151.09461",0.0,06:15,90,90
putty road northbound,"-32.63295,151.06201",0.0,06:15,91,91
putty road northbound,"-32.64071,151.04879",0.0,06:15,91,91
putty road northbound,"-32.65013,151.02306",0.0,06:15,90,90
putty road northbound,"-32.65337,151.02135",0.0,06:15,90,90
putty road northbound,"-32.65998,151.0268",0.0,06:15,90,90
putty road northbound,"-32.67639,151.02263",0.0,06:15,90,90
putty road northbound,"-32.68765,151.01025",0.0,06:15,91,91
putty road northbound,"-32.6957,151.00332",0.0,06:15,77,77
putty road northbound,"-32.69455,150.98402",0.0,06:15,77,77
putty road northbound,"-32.69997,150.97072",0.0,06:15,78,78
putty road northbound,"-32.70417,150.95436",0.0,06:15,78,78
putty road northbound,"-32.70993,150.94861",0.0,06:15,77,77
putty road northbound,"-32.71578,150.94692",0.0,06:15,78,78
putty road northbound,"-32.72099,150.94474",0.0,06:15,77,77
putty road northbound,"-32.72591,150.94493",0.0,06:15,78,78
putty road northbound,"-32.73286,150.94042",0.0,06:15,78,78
putty road northbound,"-32.73815,150.93868",0.0,06:15,77,77
putty road northbound,"-32.74091,150.93339",0.0,06:15,77,77
putty road northbound,"-32.74441,150.93138",0.0,06:15,77,77
putty road northbound,"-32.74454,150.92581",0.0,06:15,77,77
putty road northbound,"-32.74872,150.92278",0.0,06:15,78,78
putty road northbound,"-32.75124,150.92147",0.0,06:15,77,77
putty road northbound,"-32.75468,150.92286",0.0,06:15,78,78
putty road northbound,"-32.75703,150.92448",0.0,06:15,77,77
putty road northbound,"-32.76121,150.92462",0.0,06:15,78,78
putty road northbound,"-32.76569,150.92481",0.0,06:15,77,77
putty road northbound,"-32.76919,150.92267",0.0,06:15,78,78
putty road northbound,"-32.77154,150.92106",0.0,06:15,77,77
putty road northbound,"-32.77499,150.9186",0.0,06:15,77,77
putty road northbound,"-32.77649,150.91624",0.0,06:15,77,77
putty road northbound,"-32.77759,150.91288",0.0,06:15,77,77
putty road northbound,"-32.77895,150.909",0.0,06:15,77,77
putty road northbound,"-32.77874,150.90484",0.0,06:15,78,78
putty road northbound,"-32.78361,150.89846",0.0,06:15,77,77
putty road northbound,"-32.78918,150.89949",0.0,06:15,78,78
putty road northbound,"-32.79317,150.90057",0.0,06:15,78,78
putty road northbound,"-32.79625,150.90066",0.0,06:15,78,78
putty road northbound,"-32.79853,150.89973",0.0,06:15,78,78
putty road northbound,"-32.80232,150.90132",0.0,06:15,77,77
putty road northbound,"-32.80276,150.89847",0.0,06:15,78,78
putty road northbound,"-32.80591,150.90159",0.0,06:15,77,77
putty road northbound,"-32.80699,150.89843",0.0,06:15,78,78
putty road northbound,"-32.80769,150.89667",0.0,06:15,77,77
putty road northbound,"-32.81231,150.8887",0.0,06:15,78,78
putty road northbound,"-32.81469,150.8795",0.0,06:15,77,77
putty road northbound,"-32.81393,150.87226",0.0,06:15,77,77
putty road northbound,"-32.81697,150.86711",0.0,06:15,77,77
putty road northbound,"-32.8263,150.86094",0.0,06:15,77,77
putty road northbound,"-32.83323,150.8535",0.0,06:15,77,77
putty road northbound,"-32.83747,150.85092",0.0,06:15,78,78
putty road northbound,"-32.84018,150.84406",0.0,06:15,78,78
putty road northbound,"-32.84525,150.83491",0.0,06:15,77,77
putty road northbound,"-32.8558,150.82767",0.0,06:15,77,77
putty road northbound,"-32.86665,150.82521",0.0,06:15,77,77
putty road northbound,"-32.87553,150.81569",0.0,06:15,77,77
putty road northbound,"-32.87579,150.79759",0.0,06:15,78,78
putty road northbound,"-32.87912,150.79114",0.0,06:15,86,86
putty road northbound,"-32.88059,150.78476",0.0,06:15,92,92
putty road northbound,"-32.88181,150.77702",0.0,06:15,92,92
putty road northbound,"-32.88658,150.77095",0.0,06:15,86,86
putty road northbound,"-32.89916,150.7581",0.0,06:15,86,86
