road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86094,151.20603",09:30,0.0,59,59,1049.0
Cahill Expressway Northbound,"-33.86024,151.20454",09:30,20.0,48,60,1049.0
Cahill Expressway Northbound,"-33.86102,151.20515",09:30,20.0,48,60,1049.0
Cahill Expressway Northbound,"-33.86161,151.21329",09:45,0.0,43,43,1049.0
Cahill Expressway Northbound,"-33.8633,151.21326",09:45,0.0,43,43,1049.0
Cahill Expressway Northbound,"-33.86155,151.21224",09:45,0.0,61,61,1049.0
Cahill Expressway Northbound,"-33.86094,151.20603",09:45,0.0,59,59,1049.0
Cahill Expressway Northbound,"-33.86024,151.20454",09:45,0.0,61,61,1049.0
Cahill Expressway Northbound,"-33.86102,151.20515",09:45,0.0,61,61,1049.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:00,0.0,49,49,1194.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:00,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:00,0.0,65,65,1194.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:00,0.0,79,79,1194.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:00,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:00,0.0,73,73,1194.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:00,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:00,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:00,0.0,61,61,1194.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:00,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:00,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:00,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:00,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:00,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:00,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:15,0.0,49,49,1194.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:15,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:15,0.0,65,65,1194.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:15,0.0,79,79,1194.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:15,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:15,0.0,73,73,1194.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:15,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:15,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:15,0.0,61,61,1194.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:15,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:15,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:15,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:15,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:15,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:15,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:30,0.0,49,49,1194.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:30,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:30,31.25,44,64,1194.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:30,0.0,79,79,1194.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:30,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:30,0.0,73,73,1194.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:30,0.0,75,75,1194.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:30,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:30,0.0,62,62,1194.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:30,0.0,67,67,1194.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:30,0.0,69,69,1194.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:30,0.0,71,71,1194.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:30,0.0,69,69,1194.0
