road,point,traffic_percent,hour,currentSpeed,freeFlowSpeed
Eastern distributor northbound,"-33.91176,151.21283",50.0,07:00,38,76
Eastern distributor northbound,"-33.90156,151.21484",0.0,07:00,72,72
Eastern distributor northbound,"-33.89189,151.21683",0.0,07:00,35,35
Eastern distributor northbound,"-33.88284,151.2172",0.0,07:00,72,72
Eastern distributor northbound,"-33.87574,151.21744",0.0,07:00,69,69
Eastern distributor northbound,"-33.87096,151.21811",0.0,07:00,69,69
Eastern distributor northbound,"-33.86693,151.2159",0.0,07:00,69,69
western Distributor Eastbound,"-33.8716,151.19324",0.0,07:00,60,60
western Distributor Eastbound,"-33.87487,151.19688",0.0,07:00,58,58
western Distributor Eastbound,"-33.87298,151.20221",0.0,07:00,60,60
western Distributor Eastbound,"-33.8682,151.20282",0.0,07:00,66,66
western Distributor Eastbound,"-33.8623,151.20497",0.0,07:00,66,66
western Distributor Westbound,"-33.86038,151.20601",0.0,07:00,64,64
western Distributor Westbound,"-33.86396,151.20436",0.0,07:00,64,64
western Distributor Westbound,"-33.8704,151.20326",0.0,07:00,61,61
western Distributor Westbound,"-33.87274,151.2033",0.0,07:00,61,61
western Distributor Westbound,"-33.87435,151.20108",0.0,07:00,59,59
western Distributor Westbound,"-33.87505,151.19639",0.0,07:00,59,59
western Distributor Westbound,"-33.87162,151.19295",0.0,07:00,59,59
Cahill Expressway Northbound,"-33.86161,151.21329",0.0,07:00,42,42
Cahill Expressway Northbound,"-33.8633,151.21326",0.0,07:00,42,42
Cahill Expressway Northbound,"-33.86155,151.21224",0.0,07:00,61,61
Cahill Expressway Northbound,"-33.86094,151.20603",0.0,07:00,60,60
Cahill Expressway Northbound,"-33.86024,151.20454",0.0,07:00,61,61
Cahill Expressway Northbound,"-33.86102,151.20515",0.0,07:00,61,61
Cahill Expressway southbound,"-33.84246,151.21116",0.0,07:00,59,59
Cahill Expressway southbound,"-33.84923,151.2126",0.0,07:00,58,58
Cahill Expressway southbound,"-33.85581,151.20858",0.0,07:00,58,58
Cahill Expressway southbound,"-33.86078,151.20649",0.0,07:00,58,58
Cahill Expressway southbound,"-33.86159,151.21311",0.0,07:00,58,58
City road southbound,"-33.88793,151.1929",0.0,07:00,28,28
City road nortbound,"-33.89009,151.18956",0.0,07:00,42,42
City road nortbound,"-33.88534,151.19436",0.0,07:00,28,28
Brisbane Water Drive Northbound,"-33.47617,151.32398",0.0,07:00,64,64
Brisbane Water Drive Northbound,"-33.4714,151.32045",0.0,07:00,64,64
Brisbane Water Drive Northbound,"-33.46413,151.31736",0.0,07:00,61,61
Brisbane Water Drive Northbound,"-33.45959,151.31325",0.0,07:00,61,61
Brisbane Water Drive Northbound,"-33.45029,151.3209",0.0,07:00,64,64
Brisbane Water Drive Northbound,"-33.44892,151.32664",0.0,07:00,64,64
Brisbane Water Drive Northbound,"-33.44818,151.32667",0.0,07:00,55,55
Brisbane Water Drive Northbound,"-33.44259,151.32917",0.0,07:00,56,56
Brisbane Water Drive Northbound,"-33.439,151.32764",0.0,07:00,55,55
Brisbane Water Drive Northbound,"-33.43709,151.32171",0.0,07:00,55,55
Brisbane Water Drive Northbound,"-33.43362,151.31611",0.0,07:00,46,46
Brisbane Water Drive Northbound,"-33.43002,151.31642",0.0,07:00,46,46
Brisbane Water Drive Southbound,"-33.42872,151.31688",14.54545454545455,07:00,47,55
Brisbane Water Drive Southbound,"-33.4332,151.31599",14.54545454545455,07:00,47,55
Brisbane Water Drive Southbound,"-33.43678,151.32096",0.0,07:00,46,46
Brisbane Water Drive Southbound,"-33.43889,151.32752",0.0,07:00,55,55
Brisbane Water Drive Southbound,"-33.44178,151.32935",0.0,07:00,56,56
Brisbane Water Drive Southbound,"-33.44829,151.32679",0.0,07:00,56,56
Brisbane Water Drive Southbound,"-33.45008,151.32285",0.0,07:00,64,64
Brisbane Water Drive Southbound,"-33.45922,151.31344",0.0,07:00,61,61
Brisbane Water Drive Southbound,"-33.46363,151.31673",0.0,07:00,64,64
Brisbane Water Drive Southbound,"-33.47091,151.32003",0.0,07:00,64,64
Brisbane Water Drive Southbound,"-33.47558,151.324",0.0,07:00,64,64
Burns Bay Road Northbound,"-33.83948,151.14547",0.0,07:00,70,70
Burns Bay Road Northbound,"-33.83168,151.14599",0.0,07:00,38,38
Burns Bay Road Northbound,"-33.82647,151.14894",80.0,07:00,13,65
Burns Bay Road Northbound,"-33.82259,151.14966",70.0,07:00,15,50
Burns Bay Road Northbound,"-33.8185,151.15124",0.0,07:00,52,52
Burns Bay Road Northbound,"-33.81458,151.15394",52.27272727272727,07:00,21,44
Burns Bay Road Northbound,"-33.81375,151.1601",0.0,07:00,41,41
Burns Bay Road Northbound,"-33.81485,151.1663",0.0,07:00,30,30
Burns Bay Road Southbound,"-33.81476,151.15401",0.0,07:00,42,42
Burns Bay Road Southbound,"-33.8185,151.15124",0.0,07:00,52,52
Burns Bay Road Southbound,"-33.82278,151.14977",0.0,07:00,52,52
Burns Bay Road Southbound,"-33.82653,151.14901",0.0,07:00,64,64
Burns Bay Road Southbound,"-33.83078,151.14614",0.0,07:00,64,64
Burns Bay Road Southbound,"-33.83867,151.1453",0.0,07:00,63,63
Camden Valley Way Northbound,"-34.05205,150.71013",0.0,07:00,57,57
Camden Valley Way Northbound,"-34.04739,150.71745",0.0,07:00,56,56
Camden Valley Way Northbound,"-34.04308,150.72659",0.0,07:00,56,56
Camden Valley Way Northbound,"-34.042,150.73097",0.0,07:00,57,57
Camden Valley Way Northbound,"-34.04004,150.73701",0.0,07:00,29,29
Camden Valley Way Northbound,"-34.04037,150.74456",0.0,07:00,60,60
Camden Valley Way Northbound,"-34.04313,150.75462",21.875,07:00,50,64
Camden Valley Way Northbound,"-34.04808,150.76201",0.0,07:00,70,70
Camden Valley Way Northbound,"-34.05371,150.77342",26.086956521739136,07:00,51,69
Camden Valley Way Northbound,"-34.05958,150.78113",26.086956521739136,07:00,51,69
Camden Valley Way Northbound,"-34.05802,150.79228",0.0,07:00,108,108
Camden Valley Way Northbound,"-34.05227,150.80992",0.0,07:00,108,108
Camden Valley Way Northbound,"-34.03904,150.82268",0.0,07:00,108,108
Camden Valley Way Northbound,"-34.01802,150.82484",19.999999999999996,07:00,84,105
Camden Valley Way Northbound,"-34.00503,150.83444",19.999999999999996,07:00,84,105
Camden Valley Way Northbound,"-33.99057,150.85192",19.999999999999996,07:00,84,105
Camden Valley Way Northbound,"-33.98106,150.86496",19.999999999999996,07:00,84,105
Camden Valley Way Northbound,"-33.96972,150.87398",19.999999999999996,07:00,84,105
Camden Valley Way Northbound,"-33.95767,150.87545",0.0,07:00,52,52
Camden Valley Way Northbound,"-33.95732,150.88236",22.916666666666664,07:00,37,48
Camden Valley Way Southbound,"-33.9578,150.88514",50.0,07:00,20,40
Camden Valley Way Southbound,"-33.95938,150.88165",0.0,07:00,49,49
Camden Valley Way Southbound,"-33.96264,150.87806",0.0,07:00,56,56
Camden Valley Way Southbound,"-33.96977,150.87448",0.0,07:00,85,85
Camden Valley Way Southbound,"-33.98025,150.86694",0.0,07:00,105,105
Camden Valley Way Southbound,"-33.98927,150.85335",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.00056,150.84294",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.01272,150.82789",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.0297,150.82413",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.04615,150.81933",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.05463,150.80402",0.0,07:00,105,105
Camden Valley Way Southbound,"-34.05997,150.78905",0.0,07:00,67,67
Camden Valley Way Southbound,"-34.06385,150.78506",0.0,07:00,67,67
Camden Valley Way Southbound,"-34.06194,150.78518",31.034482758620683,07:00,40,58
Camden Valley Way Southbound,"-34.05627,150.77738",0.0,07:00,75,75
Camden Valley Way Southbound,"-34.05294,150.76978",0.0,07:00,67,67
Camden Valley Way Southbound,"-34.04699,150.76016",0.0,07:00,74,74
Camden Valley Way Southbound,"-34.04154,150.74838",0.0,07:00,74,74
Camden Valley Way Southbound,"-34.03972,150.73849",0.0,07:00,43,43
Camden Valley Way Southbound,"-34.04201,150.73104",0.0,07:00,57,57
Camden Valley Way Southbound,"-34.04334,150.72677",0.0,07:00,57,57
Camden Valley Way Southbound,"-34.04739,150.71745",0.0,07:00,56,56
Camden Valley Way Southbound,"-34.05217,150.70991",0.0,07:00,56,56
Sunnyholt Road Northbound,"-33.77026,150.91197",0.0,07:00,34,34
Sunnyholt Road Northbound,"-33.76497,150.91281",0.0,07:00,33,33
Sunnyholt Road Northbound,"-33.75653,150.91455",0.0,07:00,55,55
Sunnyholt Road Northbound,"-33.75087,150.91567",44.99999999999999,07:00,22,40
Sunnyholt Road Northbound,"-33.7427,150.91713",42.85714285714286,07:00,28,49
Sunnyholt Road Northbound,"-33.73711,150.9184",23.33333333333333,07:00,46,60
Sunnyholt Road Northbound,"-33.7289,150.92255",54.0,07:00,23,50
Sunnyholt Road Northbound,"-33.72465,150.92839",0.0,07:00,66,66
Sunnyholt Road Northbound,"-33.72076,150.93618",63.33333333333333,07:00,11,30
Sunnyholt Road Southbound,"-33.72173,150.93187",0.0,07:00,62,62
