route,inter_point
route 3,Eastern Distributor Onramp
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,The Marlborough
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Eastern Distributor
route 3,Kensington
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Trevilyan Avenue
route 3,Southern Cross Drive
route 3,Gardeners Road
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Botany Road
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,Southern Cross Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,General Holmes Drive
route 3,M5 Motorway
route 3,11
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 East Tunnel
route 3,M5 East Tunnel
route 3,Scots
route 3,Broe Avenue
route 3,Station 5 (formerly CBMS)
route 3,M5 East Tunnel
route 3,Churchill Street
route 3,M5 East Tunnel
route 3,M5 East Tunnel
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,TP-46-C
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,4
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,M5 Motorway
route 3,12
route 3,M5 Motorway
route 3,M5 Motorway
route 3,16
route 3,18
route 3,M5 Motorway
route 3,M5 Motorway
route 3,22
route 3,South Western Motorway
route 3,24
route 3,South Western Motorway
route 3,South Western Motorway
route 3,Lakewood Crescent
route 3,South Western Motorway
route 3,South Western Motorway
route 3,South Western Motorway
route 3,South Western Motorway
route 3,South Western Motorway
route 3,South Western Motorway
route 3,99
route 3,Hume Motorway
route 3,Hume Motorway
route 3,Hume Motorway
route 3,Hume Motorway
route 3,Hume Motorway
route 4,Eastern Distributor
route 4,The Marlborough
route 4,Vine Church
route 4,Flinders Street
route 4,Liverpool Street
route 4,Eastern Distributor
route 4,Eastern Distributor
route 4,ED-AB
route 4,Art Gallery of New South Wales
route 4,Cahill Expressway
route 4,William Shakespeare
route 4,Royal Botanic Garden
route 4,Conservatorium Road
route 4,Sydney Harbour Tunnel Northbound
route 4,Sydney Harbour Tunnel Northbound
route 4,Sydney Harbour Tunnel Southbound
route 4,Memorial to Thomas Raine
route 4,Bradfield Highway
route 4,Sydney Harbour Tunnel Northbound
route 4,Warringah Freeway
route 4,Warringah Freeway
route 4,Warringah Freeway
route 4,Warringah Freeway Onramp
route 4,Miller Street Exit
route 4,Warringah Freeway
route 4,West Street
route 4,Warringah Freeway
route 4,Warringah Freeway
route 4,1059
route 4,Gore Hill Freeway
route 4,1061
route 4,Gore Hill Freeway
route 4,Freeway Hotel
route 4,Pacific Highway Offramp
route 4,Pacific Highway Offramp
route 4,Pacific Highway
route 4,482
route 4,506-512
route 4,Caltex Woolworths
route 4,Allure Cafe
route 4,Western Way
route 4,Fullers Road
route 4,Pacific Highway
route 4,49
route 4,Vintage Cellars
route 4,7-Eleven Roseville
route 4,Roseville RSL
route 4,Pacific Highway
route 4,Pacific Highway
route 4,Pacific Highway
route 4,234
route 4,250
route 4,Westpac
route 4,Liquorland
route 4,Pacific Highway
route 4,Killara Inn
route 4,2/514
route 4,562
route 4,576
route 4,Pacific Highway
route 4,672
route 4,700
route 4,720
route 4,St John The Evangelist
route 4,Gordon Centre
route 4,828
route 4,Pacific Highway
route 4,Pacific Highway
route 4,Bridge St
route 4,TDS 8065
route 4,Pymble Uniting Church
route 4,Pacific Highway
route 4,8060
route 4,Beechworth Rd
route 4,1258
route 4,8071
route 4,Pizza Hut Turramurra
route 4,1340
route 4,8072
route 4,1428
route 4,1456
route 4,Guardian funerals
route 4,8042
route 4,Knox Grammar Senior School
route 4,Pacific Highway
route 4,Ada Avenue
route 4,8035
route 4,Pacific Highway
route 4,Pacific Motorway Onramp
route 4,Pacific Motorway Onramp
route 4,NorthConnex Ventilation Compound
route 4,Junction Road
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,427
route 4,429
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,437
route 4,Pacific Motorway
route 4,Windybanks Interchange
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,449
route 4,Pacific Motorway
route 4,451
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,457
route 4,Pacific Motorway
route 4,Hawkesbury River Bridge
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,467
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,471
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,475
route 4,Pacific Motorway
route 4,Safe-T-Cam
route 4,Heavy Vehicle Checking Bay
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Highway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway Onramp
route 4,487
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,493
route 4,Pacific Motorway
route 4,Girrakool Road
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,Pacific Motorway
route 4,499
route 4,Pacific Motorway
route 4,501
route 4,Pacific Motorway
route 4,503
route 4,Pacific Motorway
route 4,Pacific Motorway
