2021-07-28T09:08:20+10:00,2021-07-28T09:11:20+10:00,181,-33.90853,151.21319,-33.90156,151.21484,route2
2021-07-28T09:08:20+10:00,2021-07-28T09:09:34+10:00,74,-33.90504,151.21387,-33.89764,151.21565,route3
2021-07-28T09:08:21+10:00,2021-07-28T09:17:34+10:00,554,-33.9038,151.21416,-33.89557,151.21614,route4
2021-07-28T09:08:21+10:00,2021-07-28T09:25:33+10:00,1033,-33.90064,151.21506,-33.89226,151.21667,route5
2021-07-28T09:08:21+10:00,2021-07-28T09:09:27+10:00,67,-33.89638,151.21594,-33.88991,151.21733,route6
2021-07-28T09:08:22+10:00,2021-07-28T09:09:34+10:00,72,-33.89386,151.21648,-33.88664,151.21796,route7
2021-07-28T09:08:22+10:00,2021-07-28T09:18:37+10:00,615,-33.89189,151.21683,-33.8849,151.21763,route8
2021-07-28T09:08:22+10:00,2021-07-28T09:16:53+10:00,512,-33.88805,151.21772,-33.88283,151.21731,route9
2021-07-28T09:08:22+10:00,2021-07-28T09:09:43+10:00,82,-33.88569,151.218,-33.88144,151.21698,route10
2021-07-28T09:08:23+10:00,2021-07-28T09:14:02+10:00,340,-33.88396,151.21743,-33.88005,151.21691,route11
2021-07-28T09:08:23+10:00,2021-07-28T09:13:18+10:00,296,-33.88237,151.2172,-33.87764,151.2172,route12
2021-07-28T09:08:23+10:00,2021-07-28T09:15:19+10:00,416,-33.88069,151.21693,-33.87457,151.21759,route13
2021-07-28T09:08:24+10:00,2021-07-28T09:14:04+10:00,340,-33.87936,151.21707,-33.87411,151.21762,route14
2021-07-28T09:08:24+10:00,2021-07-28T09:19:40+10:00,677,-33.87574,151.21744,-33.87237,151.21772,route15
2021-07-28T09:08:24+10:00,2021-07-28T09:19:53+10:00,690,-33.87457,151.21756,-33.87096,151.21811,route16
2021-07-28T09:08:25+10:00,2021-07-28T09:22:55+10:00,871,-33.87283,151.21763,-33.86918,151.21841,route17
2021-07-28T09:08:25+10:00,2021-07-28T09:08:46+10:00,22,-33.87127,151.21795,-33.86809,151.2179,route18
2021-07-28T09:08:25+10:00,2021-07-28T09:08:45+10:00,21,-33.8698,151.21844,-33.8672,151.21675,route19
2021-07-28T09:08:26+10:00,2021-07-28T09:08:52+10:00,26,-33.86871,151.21825,-33.86643,151.2146,route20
2021-07-28T09:08:26+10:00,2021-07-28T09:24:11+10:00,946,-33.86761,151.21746,-33.87065,151.19042,route21
2021-07-28T09:08:26+10:00,2021-07-28T09:27:00+10:00,1115,-33.86693,151.2159,-33.87089,151.19157,route22
2021-07-28T09:08:27+10:00,2021-07-28T09:27:02+10:00,1116,-33.86613,151.21405,-33.8716,151.19324,route23
2021-07-28T09:08:27+10:00,2021-07-28T09:17:59+10:00,573,-33.87085,151.19104,-33.87245,151.19392,route24
2021-07-28T09:08:27+10:00,2021-07-28T09:09:01+10:00,35,-33.87113,151.19246,-33.87452,151.19546,route25
2021-07-28T09:08:28+10:00,2021-07-28T09:08:59+10:00,31,-33.87224,151.19377,-33.87491,151.19647,route26
2021-07-28T09:08:28+10:00,2021-07-28T09:09:00+10:00,32,-33.87339,151.1946,-33.87456,151.1978,route27
2021-07-28T09:08:28+10:00,2021-07-28T09:08:53+10:00,25,-33.87474,151.19578,-33.87422,151.19875,route28
2021-07-28T09:08:29+10:00,2021-07-28T09:09:07+10:00,39,-33.87487,151.19688,-33.87346,151.20133,route29
2021-07-28T09:08:29+10:00,2021-07-28T09:09:03+10:00,35,-33.87437,151.19827,-33.87298,151.20221,route30
2021-07-28T09:08:29+10:00,2021-07-28T09:08:51+10:00,23,-33.87377,151.20037,-33.87238,151.20262,route31
2021-07-28T09:08:30+10:00,2021-07-28T09:08:53+10:00,24,-33.87313,151.202,-33.87041,151.20311,route32
2021-07-28T09:08:30+10:00,2021-07-28T09:09:01+10:00,31,-33.87292,151.20229,-33.86915,151.20298,route33
