road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",06:00,0.0,42,42,629.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:00,0.0,42,42,629.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:00,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:00,0.0,59,59,629.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:00,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:00,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86161,151.21329",06:15,0.0,42,42,629.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:15,0.0,42,42,629.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:15,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:15,0.0,59,59,629.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:15,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:15,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86161,151.21329",06:30,20.93023255813954,34,43,629.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:30,20.93023255813954,34,43,629.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:30,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:30,0.0,59,59,629.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:30,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:30,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86161,151.21329",06:45,0.0,43,43,629.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:45,0.0,43,43,629.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:45,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:45,0.0,59,59,629.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:45,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:45,0.0,60,60,629.0
Cahill Expressway Northbound,"-33.86161,151.21329",10:00,0.0,43,43,749.0
Cahill Expressway Northbound,"-33.8633,151.21326",10:00,0.0,43,43,749.0
Cahill Expressway Northbound,"-33.86155,151.21224",10:00,0.0,61,61,749.0
Cahill Expressway Northbound,"-33.86094,151.20603",10:00,0.0,59,59,749.0
Cahill Expressway Northbound,"-33.86024,151.20454",10:00,0.0,61,61,749.0
Cahill Expressway Northbound,"-33.86102,151.20515",10:00,0.0,61,61,749.0
Cahill Expressway Northbound,"-33.86161,151.21329",10:15,0.0,42,42,749.0
Cahill Expressway Northbound,"-33.8633,151.21326",10:15,0.0,42,42,749.0
