destination,origin,road
"-33.741046959868875, 151.06892100127553","-33.75085301307149, 151.0654068340953",Wongala Crescent Eastbound
"-33.765830219849526, 150.89292292976629","-33.775108005205624, 150.89139490541908",Lancaster Street Northbound
"-33.775188092982866, 150.89145446662658","-33.76575450264704, 150.8930439553091",Lancaster Street Southbound
"-33.82765421185758, 151.00500227967518","-33.87681770837871, 151.12958203849934",30005 - Parramatta Road Westbound
"-33.87673530450576, 151.1296785596911","-33.82758707654083, 151.0051793056074",30005 - Parramatta Road Eastbound
"-33.8232182211167, 151.24265452563137","-33.821147245193195, 151.232260023484",Ourimbah Road Eastbound
"-33.82117899351056, 151.232255998676","-33.82323452715577, 151.24262711318525",Ourimbah Road Westbound
"-33.89089221678896, 151.25331806729932","-33.88980201333267, 151.24057440834576",Syd Einfeld Drive Eastbound
"-33.889963608108346, 151.240643875905","-33.89101352092642, 151.25324708022035",Syd Einfeld Drive Westbound
"-32.817696022843094, 151.84310739062542","-32.884347488482184, 151.77862576646763",Nelson Bay Road Northbound
"-32.884416710313005, 151.77849065129234","-32.81761710435048, 151.84332734130228",Nelson Bay Road Southbound
"-33.945111887668425, 151.03474169926994","-33.969334576138635, 151.0310617335515",Davies Road Northbound
"-33.96936351669207, 151.03116898852647","-33.945026778016306, 151.03486172811827",Davies Road Southbound
"-33.9418879658531, 150.9419102524832","-33.95508245178215, 150.87699727705692",60002 - M5 South Western Motorway Eastbound
"-33.95521209491766, 150.8771703183813","-33.94188047283911, 150.94089866480843",60002 - M5 South Western Motorway Westbound
"-33.73099803962121, 151.0178835385615","-33.74779553276348, 151.0494206243612",Castle Hill Road Westbound
"-33.74776281063989, 151.04990762445973","-33.73097484386252, 151.01799311877048",Castle Hill Road Eastbound
"-33.90592308667844, 151.03999790132957","-33.88985138143764, 150.9739880982102",Hume Highway Eastbound
"-33.889757533291856, 150.9734765768719","-33.90605433864093, 151.04000695996686",Hume Highway Westbound
"-33.946720344972405, 150.97149638547128","-33.93615493833622, 151.11115554189985",42101 - M5 South Western Motorway Westbound
"-33.93605476143267, 151.11105633224682","-33.946613496524904, 150.97138106518776",42101 - M5 South Western Motorway Eastbound
"-33.753730838647236, 150.8563812158173","-33.756703433368585, 150.87526526386992",Power Street Westbound
"-33.751484251896365, 150.84130727323534","-33.753730838647236, 150.8563812158173",Power Street Westbound
"-33.75525274570129, 150.86469880476878","-33.75140844380271, 150.84144875192382",Power Street Eastbound
"-33.756680843930226, 150.87526649649166","-33.75525274570129, 150.86469880476878",Power Street Eastbound
"-33.88662536237647, 151.0396186916793","-33.89152794304373, 151.03870537475237",Joseph Street Northbound
"-33.870532911900675, 151.0424384217645","-33.88662536237647, 151.0396186916793",Joseph Street Northbound
"-33.886594492053526, 151.03977983434564","-33.87046831473731, 151.04260201493253",Joseph Street Southbound
"-33.89157681822305, 151.03886961631616","-33.886594492053526, 151.03977983434564",Joseph Street Southbound
"-33.71051424900393, 151.13268951213374","-33.70818684670682, 151.11663121063378",Junction Road Eastbound
"-33.70825394766633, 151.11660639144782","-33.71053807537179, 151.13265728926598",Junction Road Westbound
"-33.770728038396435, 150.90359435635682","-33.77657758203287, 150.90159901112398",Balmoral Street Northbound
"-33.76743368645091, 150.90475363134078","-33.770728038396435, 150.90359435635682",Balmoral Street Northbound
"-33.77041699245651, 150.90384719041802","-33.7671244453379, 150.9051195652738",Balmoral Street Southbound
"-33.77658259837122, 150.90162985652597","-33.77041699245651, 150.90384719041802",Balmoral Street Southbound
