road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0%,38.0,38.0,1095.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0%,38.0,38.0,1095.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0%,60.0,60.0,1095.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:15,30%,27.0,39.0,1095.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:15,30%,27.0,39.0,1095.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:15,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:15,0%,60.0,60.0,1095.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:15,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:15,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:30,38%,24.0,39.0,1095.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:30,38%,24.0,39.0,1095.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:30,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:30,0%,60.0,60.0,1095.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:30,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:30,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:45,0%,39.0,39.0,1095.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:45,0%,39.0,39.0,1095.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:45,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:45,0%,60.0,60.0,1095.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:45,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:45,0%,57.0,57.0,1095.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:00,0%,39.0,39.0,1196.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:00,0%,39.0,39.0,1196.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:00,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:00,0%,60.0,60.0,1196.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:00,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:00,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:15,53%,18.0,39.0,1196.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:15,53%,18.0,39.0,1196.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:15,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:15,0%,60.0,60.0,1196.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:15,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:15,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:30,23%,29.0,38.0,1196.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:30,23%,29.0,38.0,1196.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:30,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:30,0%,60.0,60.0,1196.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:30,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:30,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:45,38%,24.0,39.0,1196.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:45,38%,24.0,39.0,1196.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:45,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:45,0%,60.0,60.0,1196.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:45,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:45,0%,57.0,57.0,1196.0
Cahill Expressway Northbound,"-33.86161,151.21329",09:00,74%,10.0,39.0,1040.0
Cahill Expressway Northbound,"-33.8633,151.21326",09:00,74%,10.0,39.0,1040.0
Cahill Expressway Northbound,"-33.86155,151.21224",09:00,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86094,151.20603",09:00,0%,60.0,60.0,1040.0
Cahill Expressway Northbound,"-33.86024,151.20454",09:00,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86102,151.20515",09:00,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86161,151.21329",09:15,0%,39.0,39.0,1040.0
Cahill Expressway Northbound,"-33.8633,151.21326",09:15,0%,39.0,39.0,1040.0
Cahill Expressway Northbound,"-33.86155,151.21224",09:15,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86094,151.20603",09:15,0%,60.0,60.0,1040.0
Cahill Expressway Northbound,"-33.86024,151.20454",09:15,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86102,151.20515",09:15,0%,57.0,57.0,1040.0
Cahill Expressway Northbound,"-33.86161,151.21329",09:30,39%,23.0,38.0,1040.0
Cahill Expressway Northbound,"-33.8633,151.21326",09:30,39%,23.0,38.0,1040.0
Cahill Expressway Northbound,"-33.86155,151.21224",09:30,0%,56.0,56.0,1040.0
Cahill Expressway Northbound,"-33.86094,151.20603",09:30,0%,60.0,60.0,1040.0
Cahill Expressway Northbound,"-33.86024,151.20454",09:30,0%,56.0,56.0,1040.0
