road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0.0,39,39,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0.0,39,39,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0.0,59,59,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:15,0.0,39,39,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:15,0.0,39,39,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:15,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:15,0.0,59,59,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:15,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:15,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:30,0.0,38,38,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:30,0.0,38,38,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:30,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:30,0.0,59,59,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:30,0.0,56,56,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:30,0.0,56,56,1102.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:00,0.5,9,18,1184.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:00,0.0,79,79,1184.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:00,0.0,65,65,1184.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:00,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:00,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:00,0.0,68,68,1184.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:00,0.0,78,78,1184.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:00,0.0,73,73,1184.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:00,0.0,66,66,1184.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:00,0.0,70,70,1184.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:00,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:00,0.0,71,71,1184.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:00,0.0,64,64,1184.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:00,0.0,71,71,1184.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:00,0.2432432432432432,28,37,1184.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",07:15,0.4705882352941176,9,17,1184.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",07:15,0.0,79,79,1184.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",07:15,0.0,65,65,1184.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",07:15,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",07:15,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",07:15,0.0,68,68,1184.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",07:15,0.0,78,78,1184.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",07:15,0.0,73,73,1184.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",07:15,0.0,66,66,1184.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",07:15,0.0,70,70,1184.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",07:15,0.0,76,76,1184.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",07:15,0.0,71,71,1184.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",07:15,0.0,63,63,1184.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",07:15,0.0,71,71,1184.0
Elizabeth Drive Eastbound,"-33.877,150.84343",07:15,0.0,37,37,1184.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:00,0.0,26,26,1261.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:00,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:00,0.0,64,64,1261.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:00,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:00,0.0,76,76,1261.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:00,0.0,70,70,1261.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:00,0.0,60,60,1261.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:00,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:00,0.0,76,76,1261.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:00,0.0,68,68,1261.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:00,0.0,68,68,1261.0
Elizabeth Drive Westbound,"-33.87092,150.73242",07:00,0.0,76,76,1261.0
Elizabeth Drive Westbound,"-33.86831,150.71664",07:00,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.86463,150.70826",07:00,0.0,74,74,1261.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:15,0.0,26,26,1261.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:15,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:15,0.0,63,63,1261.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:15,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:15,0.0,76,76,1261.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:15,0.0,70,70,1261.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:15,0.0,60,60,1261.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:15,0.0,71,71,1261.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:15,0.0,76,76,1261.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:15,0.0,68,68,1261.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:15,0.0,68,68,1261.0
