road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0.0,42,42,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0.0,42,42,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0.0,60,60,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:15,0.0,42,42,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:15,0.0,42,42,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:15,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:15,0.0,60,60,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:15,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:15,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:30,0.0,43,43,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:30,0.0,43,43,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:30,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:30,0.0,60,60,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:30,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:30,0.0,61,61,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:45,45.238095238095234,23,42,1102.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:45,45.238095238095234,23,42,1102.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:45,15.000000000000002,51,60,1102.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:45,0.0,60,60,1102.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:45,15.000000000000002,51,60,1102.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:45,19.672131147540984,49,61,1102.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:00,26.190476190476183,31,42,1236.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:00,26.190476190476183,31,42,1236.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:00,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:00,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:00,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:00,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:15,0.0,42,42,1236.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:15,0.0,42,42,1236.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:15,21.666666666666668,47,60,1236.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:15,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:15,21.666666666666668,47,60,1236.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:15,21.666666666666668,47,60,1236.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:30,75.60975609756098,10,41,1236.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:30,75.60975609756098,10,41,1236.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:30,21.666666666666668,47,60,1236.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:30,0.0,60,60,1236.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:30,21.666666666666668,47,60,1236.0
