the_geom,station_id,full_name,name,road_name,common_road_name,secondary_name,suburb,post_code,lga,rms_region,distance_to_intersection,intersection,road_number,link_number,mab_identifier,device_type,permanent_station,vehicle_classifier,road_on_type,road_classification_type,road_classification_admin,wgs84_latitude,wgs84_longitude
0101000020E61000009A417C60C7F362405ABBED42737340C0,05496,"Newcastle Link Road, West of Minmi Road",Newcastle Link Road,Newcastle Link Road,Newcastle Link Road,West of Minmi Road,Cameron Park,2285,Lake Macquarie,Hunter,390,Minmi Road,0000082,0250,A15,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Local,-32.901955,151.618088
0101000020E61000000A4B3CA0ECF26240551344DD078240C0,05506,"Excelsior Parade, West of Cary Street",Excelsior Parade,Excelsior Parade,Excelsior Parade,West of Cary Street,Toronto,2283,Lake Macquarie,Hunter,70,Cary Street,0000217,0190,B53,Trafficorder Tube Axlepair Counter,0,0,OnGround,Parade,State,-33.015865,151.591385
0101000020E6100000AFD172A007F262407FA5F3E1598440C0,05507,"Wangi Road, North of Dorrington Road",Wangi Road,Wangi Road,Wangi Road,North of Dorrington Road,Rathmines,2283,Lake Macquarie,Hunter,190,Dorrington Road,0000217,0160,B53,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-33.033993,151.563431
0101000020E61000000000000008F06240FFFFFFDFC28A40C0,05510,"Macquarie Street, North of Newport Road",Macquarie Street,Main Road,Wamsley Street,North of Newport Road,Dora Creek,2264,Lake Macquarie,Hunter,20,Newport Road,0000217,0100,B53,Excel Ll,1,1,OnGround,Street,State,-33.0840721130371,151.5009765625
0101000020E6100000E23FDD4001EA62405D34643C4A6F40C0,05520,"Wollombi Road, South of Doyle Street",Wollombi Road,Wollombi Road,Wollombi Road,South of Doyle Street,Pelton,2325,Cessnock,Hunter,330,Doyle Street,0000181,1235,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.869453,151.312653
0101000020E610000024ED461F73EB624005DF347D766A40C0,05522,"Maitland Road, West of Millfield Street",Maitland Road,Maitland Road,Maitland Road,West of Millfield Street,Cessnock,2325,Cessnock,Hunter,20,Millfield Street,0000588,0200,B68,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.831741,151.357803
0101000020E61000005A7F4B007EEF6240FEF33460906840C0,05530,"Lang Street, West of Merthyr Street",Lang Street,Lang Street,Lang Street,West of Merthyr Street,Kurri Kurri,2327,Cessnock,Hunter,110,Merthyr Street,0000195,0100,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Street,State,-32.816906,151.484131
0101000020E6100000587380600EEA624004577902614740C0,05535,"Elderslie Road, West of Blind Creek Road",Elderslie Road,Elderslie Road,Elderslie Road,West of Blind Creek Road,Mitchells Flat,2330,Singleton,Hunter,220,Blind Creek Road,0000453,0020,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,Regional,-32.557648,151.314255
0101000020E6100000261AA4E029EB6240E38A8BA3726540C0,05540,"Wine Country Drive, North of Lomas Lane",Wine Country Drive,Wine Country Drive,Wine Country Drive,North of Lomas Lane,Nulkaba,2325,Cessnock,Hunter,90,Lomas Lane,0000220,0180,B82,Trafficorder Tube Axlepair Counter,0,1,OnGround,Drive,Local,-32.792561,151.348862
0101000020E6100000ACAA97DF69EB62408578245E9E6A40C0,05543,"Vincent Street, North of Edward Street",Vincent Street,Vincent Street,Vincent Street,North of Edward Street,Cessnock,2325,Cessnock,Hunter,60,Edward Street,0000220,0160,B82,Trafficorder Tube Axlepair Counter,0,0,OnGround,Street,State,-32.832958,151.356674
