road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0.0,42,42,1127.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0.0,42,42,1127.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0.0,60,60,1127.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:15,0.0,42,42,1127.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:15,0.0,42,42,1127.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:15,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:15,0.0,60,60,1127.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:15,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:15,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:30,0.0,43,43,1127.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:30,0.0,43,43,1127.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:30,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:30,0.0,60,60,1127.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:30,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:30,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:45,0.0,43,43,1127.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:45,0.0,43,43,1127.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:45,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:45,0.0,60,60,1127.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:45,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:45,0.0,61,61,1127.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:00,52.38095238095239,20,42,1321.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:00,52.38095238095239,20,42,1321.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:00,0.0,61,61,1321.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:00,0.0,60,60,1321.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:00,0.0,61,61,1321.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:00,0.0,61,61,1321.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:15,0.0,43,43,1321.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:15,0.0,43,43,1321.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:15,26.22950819672131,45,61,1321.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:15,0.0,60,60,1321.0
Cahill Expressway Northbound,"-33.86024,151.20454",08:15,26.22950819672131,45,61,1321.0
Cahill Expressway Northbound,"-33.86102,151.20515",08:15,26.22950819672131,45,61,1321.0
Cahill Expressway Northbound,"-33.86161,151.21329",08:30,38.095238095238095,26,42,1321.0
Cahill Expressway Northbound,"-33.8633,151.21326",08:30,38.095238095238095,26,42,1321.0
Cahill Expressway Northbound,"-33.86155,151.21224",08:30,27.86885245901639,44,61,1321.0
Cahill Expressway Northbound,"-33.86094,151.20603",08:30,0.0,60,60,1321.0
