putty road northbound,"-32.56768,151.16476"
putty road northbound,"-32.56776,151.16467"
putty road northbound,"-32.5681,151.16439"
putty road northbound,"-32.56821,151.16431"
putty road northbound,"-32.56837,151.1642"
putty road northbound,"-32.56859,151.16407"
putty road northbound,"-32.56872,151.16399"
putty road northbound,"-32.56898,151.16388"
putty road northbound,"-32.56924,151.1638"
putty road northbound,"-32.56986,151.16369"
putty road northbound,"-32.57037,151.1636"
putty road northbound,"-32.57051,151.16358"
putty road northbound,"-32.5707,151.16355"
putty road northbound,"-32.57152,151.1634"
putty road northbound,"-32.57293,151.16316"
putty road northbound,"-32.57348,151.16307"
putty road northbound,"-32.57391,151.16295"
putty road northbound,"-32.57418,151.16283"
putty road northbound,"-32.57426,151.16279"
putty road northbound,"-32.57449,151.16265"
putty road northbound,"-32.57465,151.16254"
putty road northbound,"-32.57506,151.16225"
putty road northbound,"-32.57558,151.16186"
putty road northbound,"-32.57603,151.16151"
putty road northbound,"-32.57746,151.16045"
putty road northbound,"-32.58036,151.15831"
putty road northbound,"-32.58106,151.15778"
putty road northbound,"-32.58244,151.15667"
putty road northbound,"-32.58321,151.15607"
putty road northbound,"-32.58383,151.15554"
putty road northbound,"-32.58544,151.15408"
putty road northbound,"-32.58545,151.15407"
putty road northbound,"-32.58814,151.15154"
putty road northbound,"-32.58893,151.15075"
putty road northbound,"-32.58941,151.15024"
putty road northbound,"-32.58973,151.1499"
putty road northbound,"-32.59034,151.14925"
putty road northbound,"-32.59075,151.14886"
putty road northbound,"-32.59086,151.14878"
putty road northbound,"-32.59116,151.14854"
putty road northbound,"-32.59154,151.14828"
putty road northbound,"-32.59165,151.14822"
putty road northbound,"-32.5918,151.14812"
putty road northbound,"-32.59236,151.14784"
putty road northbound,"-32.5933,151.14741"
putty road northbound,"-32.59451,151.14685"
putty road northbound,"-32.5948,151.14675"
putty road northbound,"-32.59515,151.14665"
putty road northbound,"-32.59565,151.14658"
putty road northbound,"-32.59597,151.14656"
putty road northbound,"-32.59641,151.14659"
putty road northbound,"-32.59693,151.14666"
putty road northbound,"-32.59775,151.1468"
putty road northbound,"-32.60087,151.14731"
putty road northbound,"-32.60189,151.14738"
putty road northbound,"-32.60213,151.14739"
putty road northbound,"-32.60265,151.14738"
putty road northbound,"-32.60336,151.14734"
putty road northbound,"-32.60531,151.14713"
putty road northbound,"-32.60715,151.14696"
putty road northbound,"-32.60742,151.14693"
putty road northbound,"-32.60752,151.14692"
putty road northbound,"-32.60793,151.1469"
putty road northbound,"-32.60836,151.14687"
putty road northbound,"-32.6097,151.14687"
putty road northbound,"-32.61048,151.1469"
putty road northbound,"-32.611,151.14694"
putty road northbound,"-32.61277,151.14714"
putty road northbound,"-32.61406,151.1473"
putty road northbound,"-32.61436,151.14733"
putty road northbound,"-32.61491,151.14734"
putty road northbound,"-32.61544,151.14732"
putty road northbound,"-32.61615,151.14726"
putty road northbound,"-32.61776,151.14697"
putty road northbound,"-32.61842,151.14682"
putty road northbound,"-32.61864,151.14677"
putty road northbound,"-32.61913,151.14659"
putty road northbound,"-32.6193,151.14651"
putty road northbound,"-32.61953,151.14639"
putty road northbound,"-32.61976,151.14624"
putty road northbound,"-32.61998,151.14607"
putty road northbound,"-32.62036,151.14574"
putty road northbound,"-32.62069,151.14539"
