road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Cahill Expressway Northbound,"-33.86161,151.21329",06:15,45.238095238095234,23,42,530.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:15,45.238095238095234,23,42,530.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:15,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:15,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:15,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:15,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86161,151.21329",06:30,0.0,42,42,530.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:30,0.0,42,42,530.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:30,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:30,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:30,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:30,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86161,151.21329",06:45,0.0,42,42,530.0
Cahill Expressway Northbound,"-33.8633,151.21326",06:45,0.0,42,42,530.0
Cahill Expressway Northbound,"-33.86155,151.21224",06:45,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86094,151.20603",06:45,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86024,151.20454",06:45,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86102,151.20515",06:45,0.0,60,60,530.0
Cahill Expressway Northbound,"-33.86161,151.21329",10:00,0.0,43,43,866.0
Cahill Expressway Northbound,"-33.8633,151.21326",10:00,0.0,43,43,866.0
Cahill Expressway Northbound,"-33.86155,151.21224",10:00,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86094,151.20603",10:00,0.0,59,59,866.0
Cahill Expressway Northbound,"-33.86024,151.20454",10:00,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86102,151.20515",10:00,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86161,151.21329",10:15,0.0,42,42,866.0
Cahill Expressway Northbound,"-33.8633,151.21326",10:15,0.0,42,42,866.0
Cahill Expressway Northbound,"-33.86155,151.21224",10:15,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86094,151.20603",10:15,0.0,59,59,866.0
Cahill Expressway Northbound,"-33.86024,151.20454",10:15,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86102,151.20515",10:15,0.0,61,61,866.0
Cahill Expressway Northbound,"-33.86161,151.21329",10:30,0.0,42,42,866.0
Cahill Expressway Northbound,"-33.8633,151.21326",10:30,0.0,42,42,866.0
