road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed
Eastren distributor northbound,"-33.91176,151.21283",07:00,61%,29.0,75.0
Eastren distributor northbound,"-33.90156,151.21484",07:00,25%,54.0,72.0
Eastren distributor northbound,"-33.89189,151.21683",07:00,25%,54.0,72.0
Eastren distributor northbound,"-33.88284,151.2172",07:00,0%,69.0,69.0
Eastren distributor northbound,"-33.87574,151.21744",07:00,0%,73.0,73.0
Eastren distributor northbound,"-33.87096,151.21811",07:00,0%,65.0,65.0
Eastren distributor northbound,"-33.86693,151.2159",07:00,0%,66.0,66.0
Westren Distributor Eastbound,"-33.8716,151.19324",07:00,0%,61.0,61.0
Westren Distributor Eastbound,"-33.87487,151.19688",07:00,0%,58.0,58.0
Westren Distributor Eastbound,"-33.87298,151.20221",07:00,0%,59.0,59.0
Westren Distributor Eastbound,"-33.8682,151.20282",07:00,0%,67.0,67.0
Westren Distributor Eastbound,"-33.8623,151.20497",07:00,0%,67.0,67.0
Westren Distributor Westbound,"-33.86038,151.20601",07:00,0%,66.0,66.0
Westren Distributor Westbound,"-33.86396,151.20436",07:00,0%,67.0,67.0
Westren Distributor Westbound,"-33.8704,151.20326",07:00,0%,62.0,62.0
Westren Distributor Westbound,"-33.87274,151.2033",07:00,0%,62.0,62.0
Westren Distributor Westbound,"-33.87435,151.20108",07:00,0%,61.0,61.0
Westren Distributor Westbound,"-33.87505,151.19639",07:00,0%,59.0,59.0
Westren Distributor Westbound,"-33.87162,151.19295",07:00,0%,62.0,62.0
Cahill Expressway Northbound,"-33.86161,151.21329",07:00,0%,38.0,38.0
Cahill Expressway Northbound,"-33.8633,151.21326",07:00,0%,38.0,38.0
Cahill Expressway Northbound,"-33.86155,151.21224",07:00,0%,57.0,57.0
Cahill Expressway Northbound,"-33.86094,151.20603",07:00,0%,60.0,60.0
Cahill Expressway Northbound,"-33.86024,151.20454",07:00,0%,57.0,57.0
Cahill Expressway Northbound,"-33.86102,151.20515",07:00,0%,57.0,57.0
Cahill Expressway southbound,"-33.84246,151.21116",07:00,0%,58.0,58.0
Cahill Expressway southbound,"-33.84923,151.2126",07:00,0%,59.0,59.0
Cahill Expressway southbound,"-33.85581,151.20858",07:00,0%,63.0,63.0
Cahill Expressway southbound,"-33.86078,151.20649",07:00,0%,63.0,63.0
Cahill Expressway southbound,"-33.86159,151.21311",07:00,0%,63.0,63.0
City road southbound,"-33.88793,151.1929",07:00,0%,24.0,24.0
City road nortbound,"-33.89009,151.18956",07:00,0%,35.0,35.0
City road nortbound,"-33.88534,151.19436",07:00,48%,22.0,43.0
Brisbane Water Drive Northbound,"-33.47617,151.32398",07:00,0%,61.0,61.0
Brisbane Water Drive Northbound,"-33.4714,151.32045",07:00,0%,63.0,63.0
Brisbane Water Drive Northbound,"-33.46413,151.31736",07:00,0%,64.0,64.0
Brisbane Water Drive Northbound,"-33.45959,151.31325",07:00,0%,64.0,64.0
Brisbane Water Drive Northbound,"-33.45029,151.3209",07:00,0%,60.0,60.0
Brisbane Water Drive Northbound,"-33.44892,151.32664",07:00,0%,60.0,60.0
Brisbane Water Drive Northbound,"-33.44818,151.32667",07:00,0%,60.0,60.0
Brisbane Water Drive Northbound,"-33.44259,151.32917",07:00,0%,57.0,57.0
Brisbane Water Drive Northbound,"-33.439,151.32764",07:00,0%,58.0,58.0
Brisbane Water Drive Northbound,"-33.43709,151.32171",07:00,0%,58.0,58.0
Brisbane Water Drive Northbound,"-33.43362,151.31611",07:00,0%,58.0,58.0
Brisbane Water Drive Northbound,"-33.43002,151.31642",07:00,0%,53.0,53.0
Brisbane Water Drive Southbound,"-33.42872,151.31688",07:00,0%,57.0,57.0
Brisbane Water Drive Southbound,"-33.4332,151.31599",07:00,0%,57.0,57.0
Brisbane Water Drive Southbound,"-33.43678,151.32096",07:00,0%,58.0,58.0
Brisbane Water Drive Southbound,"-33.43889,151.32752",07:00,0%,58.0,58.0
Brisbane Water Drive Southbound,"-33.44178,151.32935",07:00,0%,57.0,57.0
Brisbane Water Drive Southbound,"-33.44829,151.32679",07:00,0%,57.0,57.0
Brisbane Water Drive Southbound,"-33.45008,151.32285",07:00,0%,60.0,60.0
Brisbane Water Drive Southbound,"-33.45922,151.31344",07:00,0%,64.0,64.0
Brisbane Water Drive Southbound,"-33.46363,151.31673",07:00,0%,64.0,64.0
Brisbane Water Drive Southbound,"-33.47091,151.32003",07:00,0%,63.0,63.0
Brisbane Water Drive Southbound,"-33.47558,151.324",07:00,0%,61.0,61.0
Burns Bay Road Northbound,"-33.83948,151.14547",07:00,0%,70.0,70.0
Burns Bay Road Northbound,"-33.83168,151.14599",07:00,0%,64.0,64.0
Burns Bay Road Northbound,"-33.82647,151.14894",07:00,0%,64.0,64.0
Burns Bay Road Northbound,"-33.82259,151.14966",07:00,0%,47.0,47.0
Burns Bay Road Northbound,"-33.8185,151.15124",07:00,0%,52.0,52.0
Burns Bay Road Northbound,"-33.81458,151.15394",07:00,0%,42.0,42.0
Burns Bay Road Northbound,"-33.81375,151.1601",07:00,0%,42.0,42.0
Burns Bay Road Northbound,"-33.81485,151.1663",07:00,0%,29.0,29.0
Burns Bay Road Southbound,"-33.81476,151.15401",07:00,0%,41.0,41.0
Burns Bay Road Southbound,"-33.8185,151.15124",07:00,0%,52.0,52.0
Burns Bay Road Southbound,"-33.82278,151.14977",07:00,0%,52.0,52.0
Burns Bay Road Southbound,"-33.82653,151.14901",07:00,0%,61.0,61.0
Burns Bay Road Southbound,"-33.83078,151.14614",07:00,0%,61.0,61.0
Burns Bay Road Southbound,"-33.83867,151.1453",07:00,0%,65.0,65.0
Camden Valley Way Northbound,"-34.05205,150.71013",07:00,0%,57.0,57.0
Camden Valley Way Northbound,"-34.04739,150.71745",07:00,0%,59.0,59.0
Camden Valley Way Northbound,"-34.04308,150.72659",07:00,0%,59.0,59.0
Camden Valley Way Northbound,"-34.042,150.73097",07:00,0%,47.0,47.0
Camden Valley Way Northbound,"-34.04004,150.73701",07:00,45%,24.0,44.0
Camden Valley Way Northbound,"-34.04037,150.74456",07:00,56%,29.0,66.0
Camden Valley Way Northbound,"-34.04313,150.75462",07:00,0%,76.0,76.0
Camden Valley Way Northbound,"-34.04808,150.76201",07:00,0%,50.0,50.0
Camden Valley Way Northbound,"-34.05371,150.77342",07:00,23%,52.0,68.0
Camden Valley Way Northbound,"-34.05958,150.78113",07:00,29%,51.0,72.0
Camden Valley Way Northbound,"-34.05802,150.79228",07:00,0%,107.0,107.0
Camden Valley Way Northbound,"-34.05227,150.80992",07:00,0%,110.0,110.0
Camden Valley Way Northbound,"-34.03904,150.82268",07:00,0%,108.0,108.0
Camden Valley Way Northbound,"-34.01802,150.82484",07:00,0%,107.0,107.0
Camden Valley Way Northbound,"-34.00503,150.83444",07:00,0%,108.0,108.0
Camden Valley Way Northbound,"-33.99057,150.85192",07:00,0%,107.0,107.0
Camden Valley Way Northbound,"-33.98106,150.86496",07:00,0%,105.0,105.0
Camden Valley Way Northbound,"-33.96972,150.87398",07:00,49%,52.0,103.0
Camden Valley Way Northbound,"-33.95767,150.87545",07:00,43%,22.0,39.0
Camden Valley Way Northbound,"-33.95732,150.88236",07:00,43%,25.0,44.0
Camden Valley Way Southbound,"-33.9578,150.88514",07:00,39%,23.0,38.0
Camden Valley Way Southbound,"-33.95938,150.88165",07:00,0%,58.0,58.0
Camden Valley Way Southbound,"-33.96264,150.87806",07:00,0%,65.0,65.0
Camden Valley Way Southbound,"-33.96977,150.87448",07:00,0%,85.0,85.0
Camden Valley Way Southbound,"-33.98025,150.86694",07:00,0%,105.0,105.0
Camden Valley Way Southbound,"-33.98927,150.85335",07:00,0%,108.0,108.0
Camden Valley Way Southbound,"-34.00056,150.84294",07:00,0%,107.0,107.0
Camden Valley Way Southbound,"-34.01272,150.82789",07:00,0%,106.0,106.0
Camden Valley Way Southbound,"-34.0297,150.82413",07:00,0%,104.0,104.0
Camden Valley Way Southbound,"-34.04615,150.81933",07:00,0%,106.0,106.0
Camden Valley Way Southbound,"-34.05463,150.80402",07:00,0%,103.0,103.0
Camden Valley Way Southbound,"-34.05997,150.78905",07:00,0%,88.0,88.0
Camden Valley Way Southbound,"-34.06385,150.78506",07:00,0%,48.0,48.0
Camden Valley Way Southbound,"-34.06194,150.78518",07:00,0%,65.0,65.0
Camden Valley Way Southbound,"-34.05627,150.77738",07:00,0%,71.0,71.0
Camden Valley Way Southbound,"-34.05294,150.76978",07:00,0%,71.0,71.0
Camden Valley Way Southbound,"-34.04699,150.76016",07:00,0%,78.0,78.0
Camden Valley Way Southbound,"-34.04154,150.74838",07:00,28%,54.0,75.0
Camden Valley Way Southbound,"-34.03972,150.73849",07:00,0%,44.0,44.0
Camden Valley Way Southbound,"-34.04201,150.73104",07:00,0%,47.0,47.0
Camden Valley Way Southbound,"-34.04334,150.72677",07:00,0%,47.0,47.0
Camden Valley Way Southbound,"-34.04739,150.71745",07:00,0%,59.0,59.0
Camden Valley Way Southbound,"-34.05217,150.70991",07:00,0%,60.0,60.0
Sunnyholt Road Northbound,"-33.77026,150.91197",07:00,0%,41.0,41.0
Sunnyholt Road Northbound,"-33.76497,150.91281",07:00,0%,47.0,47.0
Sunnyholt Road Northbound,"-33.75653,150.91455",07:00,24%,41.0,54.0
Sunnyholt Road Northbound,"-33.75087,150.91567",07:00,0%,40.0,40.0
Sunnyholt Road Northbound,"-33.7427,150.91713",07:00,30%,37.0,53.0
Sunnyholt Road Northbound,"-33.73711,150.9184",07:00,0%,52.0,52.0
Sunnyholt Road Northbound,"-33.7289,150.92255",07:00,0%,57.0,57.0
Sunnyholt Road Northbound,"-33.72465,150.92839",07:00,0%,64.0,64.0
Sunnyholt Road Northbound,"-33.72076,150.93618",07:00,70%,16.0,54.0
Sunnyholt Road Southbound,"-33.72173,150.93187",07:00,0%,64.0,64.0
Sunnyholt Road Southbound,"-33.72803,150.924",07:00,21%,33.0,42.0
Sunnyholt Road Southbound,"-33.73481,150.91967",07:00,22%,42.0,54.0
Sunnyholt Road Southbound,"-33.74013,150.9176",07:00,39%,31.0,51.0
Sunnyholt Road Southbound,"-33.74782,150.91641",07:00,0%,56.0,56.0
Sunnyholt Road Southbound,"-33.75459,150.91503",07:00,0%,56.0,56.0
Sunnyholt Road Southbound,"-33.76263,150.91352",07:00,0%,34.0,34.0
Sunnyholt Road Southbound,"-33.76971,150.9122",07:00,26%,28.0,38.0
O'riordan Street northbound,"-33.9285,151.18708",07:00,0%,40.0,40.0
O'riordan Street northbound,"-33.92426,151.19055",07:00,36%,19.0,30.0
O'riordan Street northbound,"-33.91895,151.19291",07:00,31%,32.0,47.0
O'riordan Street northbound,"-33.91335,151.19641",07:00,31%,32.0,47.0
O'riordan Street northbound,"-33.90554,151.20279",07:00,0%,31.0,31.0
O'riordan Street southbound,"-33.9162,151.19465",07:00,22%,28.0,36.0
O'riordan Street southbound,"-33.92086,151.19176",07:00,22%,28.0,36.0
O'riordan Street southbound,"-33.92586,151.18911",07:00,0%,35.0,35.0
O'riordan Street southbound,"-33.93032,151.18673",07:00,0%,35.0,35.0
head street nortbound,"-37.89202,144.99303",07:00,0%,52.0,52.0
head street nortbound,"-37.89282,144.99973",07:00,0%,34.0,34.0
head street southbound,"-37.89295,145.00028",07:00,0%,34.0,34.0
head street southbound,"-37.89252,144.99672",07:00,0%,47.0,47.0
head street southbound,"-37.89118,144.98588",07:00,0%,55.0,55.0
putty road northbound,"-32.57418,151.16283",07:00,0%,37.0,37.0
putty road northbound,"-32.59086,151.14878",07:00,0%,97.0,97.0
putty road northbound,"-32.60715,151.14696",07:00,0%,96.0,96.0
putty road northbound,"-32.61998,151.14607",07:00,0%,97.0,97.0
putty road northbound,"-32.62536,151.13384",07:00,0%,87.0,87.0
putty road northbound,"-32.6226,151.12372",07:00,0%,97.0,97.0
putty road northbound,"-32.61819,151.11234",07:00,0%,94.0,94.0
putty road northbound,"-32.61754,151.10325",07:00,0%,65.0,65.0
putty road northbound,"-32.61933,151.09689",07:00,0%,85.0,85.0
putty road northbound,"-32.63105,151.09461",07:00,0%,96.0,96.0
putty road northbound,"-32.63295,151.06201",07:00,0%,96.0,96.0
putty road northbound,"-32.64071,151.04879",07:00,0%,97.0,97.0
putty road northbound,"-32.65013,151.02306",07:00,0%,71.0,71.0
putty road northbound,"-32.65337,151.02135",07:00,0%,71.0,71.0
putty road northbound,"-32.65998,151.0268",07:00,0%,71.0,71.0
putty road northbound,"-32.67639,151.02263",07:00,0%,94.0,94.0
putty road northbound,"-32.68765,151.01025",07:00,0%,94.0,94.0
putty road northbound,"-32.6957,151.00332",07:00,0%,90.0,90.0
putty road northbound,"-32.69455,150.98402",07:00,0%,97.0,97.0
putty road northbound,"-32.69997,150.97072",07:00,0%,97.0,97.0
putty road northbound,"-32.70417,150.95436",07:00,0%,91.0,91.0
putty road northbound,"-32.70993,150.94861",07:00,0%,74.0,74.0
putty road northbound,"-32.71578,150.94692",07:00,0%,79.0,79.0
putty road northbound,"-32.72099,150.94474",07:00,0%,74.0,74.0
putty road northbound,"-32.72591,150.94493",07:00,0%,73.0,73.0
putty road northbound,"-32.73286,150.94042",07:00,0%,64.0,64.0
putty road northbound,"-32.73815,150.93868",07:00,0%,67.0,67.0
putty road northbound,"-32.74091,150.93339",07:00,0%,63.0,63.0
putty road northbound,"-32.74441,150.93138",07:00,0%,63.0,63.0
putty road northbound,"-32.74454,150.92581",07:00,0%,63.0,63.0
putty road northbound,"-32.74872,150.92278",07:00,0%,60.0,60.0
putty road northbound,"-32.75124,150.92147",07:00,0%,58.0,58.0
putty road northbound,"-32.75468,150.92286",07:00,0%,62.0,62.0
putty road northbound,"-32.75703,150.92448",07:00,0%,58.0,58.0
putty road northbound,"-32.76121,150.92462",07:00,0%,62.0,62.0
putty road northbound,"-32.76569,150.92481",07:00,0%,63.0,63.0
putty road northbound,"-32.76919,150.92267",07:00,0%,60.0,60.0
putty road northbound,"-32.77154,150.92106",07:00,0%,58.0,58.0
putty road northbound,"-32.77499,150.9186",07:00,0%,58.0,58.0
putty road northbound,"-32.77649,150.91624",07:00,0%,58.0,58.0
putty road northbound,"-32.77759,150.91288",07:00,0%,58.0,58.0
putty road northbound,"-32.77895,150.909",07:00,0%,67.0,67.0
putty road northbound,"-32.77874,150.90484",07:00,0%,65.0,65.0
putty road northbound,"-32.78361,150.89846",07:00,0%,67.0,67.0
putty road northbound,"-32.78918,150.89949",07:00,0%,66.0,66.0
putty road northbound,"-32.79317,150.90057",07:00,0%,66.0,66.0
putty road northbound,"-32.79625,150.90066",07:00,0%,66.0,66.0
putty road northbound,"-32.79853,150.89973",07:00,0%,66.0,66.0
putty road northbound,"-32.80232,150.90132",07:00,0%,62.0,62.0
putty road northbound,"-32.80276,150.89847",07:00,0%,61.0,61.0
putty road northbound,"-32.80591,150.90159",07:00,0%,62.0,62.0
putty road northbound,"-32.80699,150.89843",07:00,0%,76.0,76.0
putty road northbound,"-32.80769,150.89667",07:00,0%,78.0,78.0
putty road northbound,"-32.81231,150.8887",07:00,0%,87.0,87.0
putty road northbound,"-32.81469,150.8795",07:00,0%,84.0,84.0
putty road northbound,"-32.81393,150.87226",07:00,0%,84.0,84.0
putty road northbound,"-32.81697,150.86711",07:00,0%,84.0,84.0
putty road northbound,"-32.8263,150.86094",07:00,0%,87.0,87.0
putty road northbound,"-32.83323,150.8535",07:00,0%,80.0,80.0
putty road northbound,"-32.83747,150.85092",07:00,0%,82.0,82.0
putty road northbound,"-32.84018,150.84406",07:00,0%,89.0,89.0
putty road northbound,"-32.84525,150.83491",07:00,0%,86.0,86.0
putty road northbound,"-32.8558,150.82767",07:00,0%,91.0,91.0
putty road northbound,"-32.86665,150.82521",07:00,0%,91.0,91.0
putty road northbound,"-32.87553,150.81569",07:00,0%,90.0,90.0
putty road northbound,"-32.87579,150.79759",07:00,0%,94.0,94.0
putty road northbound,"-32.87912,150.79114",07:00,0%,84.0,84.0
putty road northbound,"-32.88059,150.78476",07:00,0%,87.0,87.0
putty road northbound,"-32.88181,150.77702",07:00,0%,87.0,87.0
putty road northbound,"-32.88658,150.77095",07:00,0%,92.0,92.0
putty road northbound,"-32.89916,150.7581",07:00,0%,92.0,92.0
putty road northbound,"-32.90989,150.74838",07:00,0%,85.0,85.0
putty road northbound,"-32.91732,150.73185",07:00,0%,85.0,85.0
putty road northbound,"-32.9184,150.72557",07:00,0%,84.0,84.0
putty road northbound,"-32.92582,150.71548",07:00,0%,85.0,85.0
putty road northbound,"-32.92614,150.7036",07:00,0%,83.0,83.0
putty road northbound,"-32.92871,150.69699",07:00,0%,72.0,72.0
putty road northbound,"-32.93007,150.7",07:00,0%,74.0,74.0
putty road northbound,"-32.9333,150.69846",07:00,0%,74.0,74.0
putty road northbound,"-32.94082,150.70196",07:00,0%,80.0,80.0
putty road northbound,"-32.94509,150.7004",07:00,0%,80.0,80.0
putty road northbound,"-32.95183,150.69495",07:00,0%,77.0,77.0
putty road northbound,"-32.96443,150.6899",07:00,0%,83.0,83.0
putty road northbound,"-32.97247,150.68847",07:00,0%,75.0,75.0
putty road northbound,"-32.97892,150.68724",07:00,0%,75.0,75.0
putty road northbound,"-32.9835,150.68582",07:00,0%,87.0,87.0
putty road northbound,"-32.99316,150.68514",07:00,0%,90.0,90.0
putty road northbound,"-33.00399,150.68478",07:00,0%,96.0,96.0
putty road northbound,"-33.01257,150.67535",07:00,0%,96.0,96.0
putty road northbound,"-33.02386,150.66914",07:00,0%,94.0,94.0
putty road northbound,"-33.03785,150.67376",07:00,0%,93.0,93.0
putty road northbound,"-33.04329,150.68168",07:00,0%,93.0,93.0
putty road northbound,"-33.05142,150.68292",07:00,0%,93.0,93.0
putty road northbound,"-33.05877,150.69649",07:00,0%,99.0,99.0
putty road northbound,"-33.07008,150.69861",07:00,0%,99.0,99.0
putty road northbound,"-33.08094,150.70953",07:00,0%,100.0,100.0
putty road northbound,"-33.09161,150.69732",07:00,0%,106.0,106.0
putty road northbound,"-33.10765,150.69458",07:00,0%,100.0,100.0
putty road northbound,"-33.11883,150.69525",07:00,0%,98.0,98.0
putty road northbound,"-33.12822,150.69108",07:00,0%,100.0,100.0
putty road northbound,"-33.14084,150.68594",07:00,0%,96.0,96.0
putty road northbound,"-33.15414,150.68999",07:00,0%,97.0,97.0
putty road northbound,"-33.15905,150.69508",07:00,0%,95.0,95.0
putty road northbound,"-33.17147,150.69418",07:00,0%,100.0,100.0
putty road northbound,"-33.18816,150.69127",07:00,0%,103.0,103.0
putty road northbound,"-33.2045,150.68271",07:00,0%,97.0,97.0
putty road northbound,"-33.21945,150.67087",07:00,0%,99.0,99.0
putty road northbound,"-33.2305,150.65905",07:00,0%,97.0,97.0
putty road northbound,"-33.2356,150.64885",07:00,0%,91.0,91.0
putty road northbound,"-33.24601,150.64981",07:00,0%,96.0,96.0
putty road northbound,"-33.25606,150.65198",07:00,0%,92.0,92.0
putty road northbound,"-33.26118,150.65757",07:00,0%,97.0,97.0
putty road northbound,"-33.26284,150.66578",07:00,0%,96.0,96.0
putty road northbound,"-33.26631,150.67123",07:00,0%,91.0,91.0
putty road northbound,"-33.2674,150.67954",07:00,0%,90.0,90.0
putty road northbound,"-33.26962,150.68643",07:00,0%,94.0,94.0
putty road northbound,"-33.27684,150.68661",07:00,0%,89.0,89.0
putty road northbound,"-33.2836,150.68959",07:00,0%,94.0,94.0
putty road northbound,"-33.28808,150.69315",07:00,0%,89.0,89.0
putty road northbound,"-33.29457,150.69237",07:00,0%,92.0,92.0
putty road northbound,"-33.30237,150.70156",07:00,0%,91.0,91.0
putty road northbound,"-33.31256,150.70037",07:00,0%,93.0,93.0
putty road northbound,"-33.32161,150.70269",07:00,0%,90.0,90.0
putty road northbound,"-33.32974,150.7013",07:00,0%,93.0,93.0
putty road northbound,"-33.33839,150.70299",07:00,0%,93.0,93.0
putty road northbound,"-33.34859,150.705",07:00,0%,89.0,89.0
putty road northbound,"-33.35462,150.70482",07:00,0%,86.0,86.0
putty road northbound,"-33.36328,150.70684",07:00,0%,86.0,86.0
putty road northbound,"-33.3665,150.71365",07:00,0%,84.0,84.0
putty road northbound,"-33.36794,150.72126",07:00,0%,82.0,82.0
putty road northbound,"-33.368,150.72807",07:00,0%,81.0,81.0
putty road northbound,"-33.37303,150.73079",07:00,0%,82.0,82.0
putty road northbound,"-33.37384,150.73821",07:00,0%,82.0,82.0
putty road northbound,"-33.37425,150.74518",07:00,0%,82.0,82.0
putty road northbound,"-33.37781,150.75061",07:00,0%,82.0,82.0
putty road northbound,"-33.38413,150.75273",07:00,0%,85.0,85.0
putty road northbound,"-33.39117,150.7557",07:00,0%,82.0,82.0
putty road northbound,"-33.40124,150.76343",07:00,0%,78.0,78.0
putty road northbound,"-33.40166,150.77355",07:00,0%,78.0,78.0
putty road northbound,"-33.40308,150.77773",07:00,0%,71.0,71.0
putty road northbound,"-33.40467,150.78311",07:00,0%,71.0,71.0
putty road northbound,"-33.40913,150.78739",07:00,0%,76.0,76.0
putty road northbound,"-33.41262,150.79249",07:00,0%,76.0,76.0
putty road northbound,"-33.41677,150.80291",07:00,0%,76.0,76.0
putty road northbound,"-33.42019,150.81027",07:00,0%,69.0,69.0
putty road northbound,"-33.42267,150.81551",07:00,0%,69.0,69.0
putty road northbound,"-33.42232,150.8208",07:00,0%,76.0,76.0
putty road northbound,"-33.42348,150.82636",07:00,0%,76.0,76.0
putty road northbound,"-33.43033,150.82932",07:00,0%,80.0,80.0
putty road northbound,"-33.43592,150.82862",07:00,0%,64.0,64.0
putty road northbound,"-33.43414,150.82589",07:00,0%,64.0,64.0
putty road northbound,"-33.43771,150.82551",07:00,0%,64.0,64.0
putty road northbound,"-33.44441,150.82488",07:00,0%,80.0,80.0
putty road northbound,"-33.44751,150.81787",07:00,0%,88.0,88.0
putty road northbound,"-33.4571,150.81301",07:00,0%,85.0,85.0
putty road northbound,"-33.46286,150.81168",07:00,0%,85.0,85.0
putty road northbound,"-33.46638,150.81083",07:00,0%,87.0,87.0
putty road northbound,"-33.47324,150.81692",07:00,0%,88.0,88.0
putty road northbound,"-33.479,150.81845",07:00,0%,88.0,88.0
putty road northbound,"-33.48633,150.81732",07:00,0%,88.0,88.0
putty road northbound,"-33.49312,150.81831",07:00,0%,88.0,88.0
putty road northbound,"-33.49851,150.81098",07:00,0%,81.0,81.0
putty road northbound,"-33.50303,150.8105",07:00,0%,81.0,81.0
putty road northbound,"-33.51023,150.82189",07:00,0%,82.0,82.0
putty road northbound,"-33.51793,150.82501",07:00,0%,84.0,84.0
putty road northbound,"-33.52465,150.82542",07:00,0%,78.0,78.0
putty road northbound,"-33.53799,150.83615",07:00,0%,78.0,78.0
putty road northbound,"-33.55047,150.83924",07:00,0%,78.0,78.0
putty road northbound,"-33.56037,150.83774",07:00,0%,62.0,62.0
putty road southbound,"-33.55725,150.83737",07:00,0%,62.0,62.0
putty road southbound,"-33.54381,150.83947",07:00,0%,78.0,78.0
putty road southbound,"-33.53027,150.83085",07:00,0%,78.0,78.0
putty road southbound,"-33.52239,150.82486",07:00,0%,82.0,82.0
putty road southbound,"-33.51527,150.82319",07:00,0%,82.0,82.0
putty road southbound,"-33.5083,150.81948",07:00,0%,84.0,84.0
putty road southbound,"-33.50119,150.80934",07:00,0%,84.0,84.0
putty road southbound,"-33.49675,150.81488",07:00,0%,79.0,79.0
putty road southbound,"-33.4912,150.81896",07:00,0%,88.0,88.0
putty road southbound,"-33.48317,150.81665",07:00,0%,88.0,88.0
putty road southbound,"-33.47662,150.81917",07:00,0%,87.0,87.0
putty road southbound,"-33.47054,150.81447",07:00,0%,87.0,87.0
putty road southbound,"-33.46485,150.81009",07:00,0%,87.0,87.0
putty road southbound,"-33.46114,150.81393",07:00,0%,85.0,85.0
putty road southbound,"-33.45384,150.81199",07:00,0%,88.0,88.0
putty road southbound,"-33.44609,150.82015",07:00,0%,80.0,80.0
putty road southbound,"-33.44144,150.82634",07:00,0%,64.0,64.0
putty road southbound,"-33.43581,150.82484",07:00,0%,64.0,64.0
putty road southbound,"-33.43493,150.82697",07:00,0%,73.0,73.0
putty road southbound,"-33.43394,150.82819",07:00,0%,80.0,80.0
putty road southbound,"-33.42776,150.83015",07:00,0%,80.0,80.0
putty road southbound,"-33.42235,150.82424",07:00,0%,75.0,75.0
putty road southbound,"-33.42255,150.81915",07:00,0%,69.0,69.0
putty road southbound,"-33.42206,150.81283",07:00,0%,69.0,69.0
putty road southbound,"-33.41936,150.8085",07:00,0%,69.0,69.0
putty road southbound,"-33.41531,150.79834",07:00,0%,80.0,80.0
putty road southbound,"-33.4119,150.79062",07:00,0%,76.0,76.0
putty road southbound,"-33.40825,150.78545",07:00,0%,71.0,71.0
putty road southbound,"-33.40425,150.78005",07:00,0%,71.0,71.0
putty road southbound,"-33.40165,150.77746",07:00,0%,71.0,71.0
putty road southbound,"-33.40192,150.77065",07:00,0%,77.0,77.0
putty road southbound,"-33.39666,150.75931",07:00,0%,82.0,82.0
putty road southbound,"-33.38973,150.75408",07:00,0%,82.0,82.0
putty road southbound,"-33.38188,150.75204",07:00,0%,85.0,85.0
putty road southbound,"-33.3759,150.74927",07:00,0%,82.0,82.0
putty road southbound,"-33.37378,150.74306",07:00,0%,82.0,82.0
putty road southbound,"-33.37355,150.73471",07:00,0%,82.0,82.0
putty road southbound,"-33.37042,150.73",07:00,0%,81.0,81.0
putty road southbound,"-33.36847,150.72424",07:00,0%,82.0,82.0
putty road southbound,"-33.36733,150.71931",07:00,0%,82.0,82.0
putty road southbound,"-33.36571,150.70944",07:00,0%,84.0,84.0
putty road southbound,"-33.36067,150.70758",07:00,0%,84.0,84.0
putty road southbound,"-33.35223,150.70382",07:00,0%,86.0,86.0
putty road southbound,"-33.34501,150.70529",07:00,0%,90.0,90.0
putty road southbound,"-33.33563,150.70323",07:00,0%,90.0,90.0
putty road southbound,"-33.32684,150.703",07:00,0%,90.0,90.0
putty road southbound,"-33.31888,150.70186",07:00,0%,90.0,90.0
putty road southbound,"-33.30924,150.70164",07:00,0%,91.0,91.0
putty road southbound,"-33.29963,150.70022",07:00,0%,90.0,90.0
putty road southbound,"-33.29144,150.69182",07:00,0%,92.0,92.0
putty road southbound,"-33.28626,150.691",07:00,0%,89.0,89.0
putty road southbound,"-33.28063,150.68962",07:00,0%,89.0,89.0
putty road southbound,"-33.27518,150.68629",07:00,0%,89.0,89.0
putty road southbound,"-33.26821,150.68493",07:00,0%,90.0,90.0
putty road southbound,"-33.26731,150.67633",07:00,0%,91.0,91.0
putty road southbound,"-33.2649,150.66845",07:00,0%,96.0,96.0
putty road southbound,"-33.26182,150.66164",07:00,0%,96.0,96.0
putty road southbound,"-33.25926,150.65498",07:00,0%,92.0,92.0
putty road southbound,"-33.25425,150.65028",07:00,0%,92.0,92.0
putty road southbound,"-33.24289,150.64838",07:00,0%,96.0,96.0
putty road southbound,"-33.23278,150.65363",07:00,0%,91.0,91.0
putty road southbound,"-33.22809,150.66055",07:00,0%,98.0,98.0
putty road southbound,"-33.21565,150.67691",07:00,0%,99.0,99.0
putty road southbound,"-33.20068,150.68317",07:00,0%,97.0,97.0
putty road southbound,"-33.18264,150.69317",07:00,0%,102.0,102.0
putty road southbound,"-33.16436,150.6922",07:00,0%,100.0,100.0
putty road southbound,"-33.15716,150.69509",07:00,0%,93.0,93.0
putty road southbound,"-33.14507,150.68571",07:00,0%,96.0,96.0
putty road southbound,"-33.13557,150.69196",07:00,0%,98.0,98.0
putty road southbound,"-33.12153,150.68911",07:00,0%,96.0,96.0
putty road southbound,"-33.11762,150.69743",07:00,0%,98.0,98.0
putty road southbound,"-33.10513,150.69409",07:00,0%,100.0,100.0
putty road southbound,"-33.08462,150.70765",07:00,0%,100.0,100.0
